AREA,AREA_TITLE,GeoFIPS,GeoName,match_rule
12940,"Baton Rouge, LA",12940,"Baton Rouge, LA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12980,"Battle Creek, MI",12980,"Battle Creek, MI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13020,"Bay City, MI",13020,"Bay City, MI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13140,"Beaumont-Port Arthur, TX",13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13220,"Beckley, WV",13220,"Beckley, WV (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13380,"Bellingham, WA",13380,"Bellingham, WA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13460,"Bend, OR",13460,"Bend, OR (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13740,"Billings, MT",13740,"Billings, MT (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13780,"Binghamton, NY",13780,"Binghamton, NY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13820,"Birmingham, AL",13820,"Birmingham, AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13900,"Bismarck, ND",13900,"Bismarck, ND (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
13980,"Blacksburg-Christiansburg-Radford, VA",13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14010,"Bloomington, IL",14010,"Bloomington, IL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14020,"Bloomington, IN",14020,"Bloomington, IN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14260,"Boise City, ID",14260,"Boise City, ID (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14460,"Boston-Cambridge-Newton, MA-NH",14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14500,"Boulder, CO",14500,"Boulder, CO (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14540,"Bowling Green, KY",14540,"Bowling Green, KY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14580,"Bozeman, MT",14580,"Bozeman, MT (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14740,"Bremerton-Silverdale-Port Orchard, WA",14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
14860,"Bridgeport-Stamford-Danbury, CT",14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",exact_AREA_eq_GeoFIPS
15180,"Brownsville-Harlingen, TX",15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
15260,"Brunswick-St. Simons, GA",15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
15380,"Buffalo-Cheektowaga, NY",15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
15500,"Burlington, NC",15500,"Burlington, NC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
15540,"Burlington-South Burlington, VT",15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
15940,"Canton-Massillon, OH",15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
