AREA,AREA_TITLE,AREA_TYPE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,A_MEDIAN,A_PCT25,A_PCT75,TOT_EMP
12420,"Austin-Round Rock-San Marcos, TX",4,17-3028,Calibration Technologists and Technicians,detailed,61060,58430,44860,74680,230
12420,"Austin-Round Rock-San Marcos, TX",4,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,74210,72680,54990,86130,410
12420,"Austin-Round Rock-San Marcos, TX",4,17-3031,Surveying and Mapping Technicians,detailed,53490,47870,40430,60630,1160
12420,"Austin-Round Rock-San Marcos, TX",4,19-0000,"Life, Physical, and Social Science Occupations",major,81780,74260,59000,96520,11260
12420,"Austin-Round Rock-San Marcos, TX",4,19-1012,Food Scientists and Technologists,detailed,109670,103810,100440,131300,50
12420,"Austin-Round Rock-San Marcos, TX",4,19-1021,Biochemists and Biophysicists,detailed,78250,59170,59170,104030,70
12420,"Austin-Round Rock-San Marcos, TX",4,19-1022,Microbiologists,detailed,64130,59290,51460,73380,120
12420,"Austin-Round Rock-San Marcos, TX",4,19-1023,Zoologists and Wildlife Biologists,detailed,73660,67390,51140,91500,40
12420,"Austin-Round Rock-San Marcos, TX",4,19-1029,"Biological Scientists, All Other",detailed,78880,66890,54430,84530,380
12420,"Austin-Round Rock-San Marcos, TX",4,19-1031,Conservation Scientists,detailed,68190,65170,57240,74260,450
12420,"Austin-Round Rock-San Marcos, TX",4,19-1032,Foresters,detailed,74010,64840,62130,86380,30
12420,"Austin-Round Rock-San Marcos, TX",4,19-1041,Epidemiologists,detailed,102500,71870,61790,97940,170
12420,"Austin-Round Rock-San Marcos, TX",4,19-1042,"Medical Scientists, Except Epidemiologists",detailed,*,*,*,*,1150
12420,"Austin-Round Rock-San Marcos, TX",4,19-2012,Physicists,detailed,149060,129380,75350,215980,120
12420,"Austin-Round Rock-San Marcos, TX",4,19-2021,Atmospheric and Space Scientists,detailed,78930,64050,60830,92190,40
12420,"Austin-Round Rock-San Marcos, TX",4,19-2031,Chemists,detailed,87520,76740,63910,102650,290
12420,"Austin-Round Rock-San Marcos, TX",4,19-2032,Materials Scientists,detailed,135570,133530,95090,205200,30
